net,length_um
_1109_,74.76
clknet_leaf_85_CLK,74.66
_2220_,74.6
_1024_,74.53
clknet_leaf_37_CLK,73.34
_1969_,73.14
_1217_,73
clknet_leaf_12_CLK,72.58
_2626_,72.48
_2427_,72.15
_2658_,71.6
clknet_leaf_22_CLK,70.98
clknet_leaf_98_CLK,70.735
_2403_,70.5
_1085_,70.31
net27,70.18
_2252_,69.715
_1880_,69.64
clknet_leaf_19_CLK,69.62
_1424_,69.48
clknet_leaf_29_CLK,69.24
net14,68.76
clknet_leaf_53_CLK,68.58
clknet_leaf_80_CLK,68.52
_1765_,68.14
_1144_,68.1
_2006_,67.88
_2576_,67.76
_2038_,66.97
clknet_leaf_70_CLK,66.78
_2227_,66.26
_2491_,66.16
_1309_,66
_1573_,65.78
_1616_,65.68
_2705_,65.615
clknet_leaf_20_CLK,65.34
net31,65.26
_2737_,65.055
_2204_,64.9
_1228_,64.68
net39,64.46
_1446_,64.18
clknet_leaf_28_CLK,64.1
_1474_,63.84
_1359_,63.77
_2390_,63.7
_2166_,63.4
_2524_,63.16
_1512_,63.06
net36,62.7
_2797_,62.6
_2463_,62.56
clknet_leaf_24_CLK,62.2
clknet_leaf_66_CLK,62.08
_2115_,62.06
_1455_,61.72
clknet_leaf_94_CLK,61.66
_1505_,61.56
_2565_,61.4
clknet_leaf_17_CLK,60.88
clknet_leaf_33_CLK,60.74
_1097_,60.56
_1415_,60.46
_2974_,59.84
_2609_,59.78
clknet_leaf_71_CLK,59.58
clknet_leaf_0_CLK,59.56
_2262_,59.34
_2184_,58.92
net40,58.92
_2040_,58.9
_2458_,58.7
_2397_,58.15
_2586_,58
clknet_leaf_41_CLK,57.86
_2802_,57.63
_1698_,57.46
_2444_,57.1
_2754_,56.36
net33,56.26
clknet_leaf_77_CLK,56.26
net41,55.6
_2613_,55.53
clknet_leaf_79_CLK,55.26
_2692_,55.23
clknet_leaf_56_CLK,55.08
_1256_,54.72
_1879_,54.54
_1553_,54
_1094_,53.92
_2859_,53.2
_2657_,52.4
clknet_leaf_75_CLK,52.3
_2158_,51.84
_2573_,51.54
_1949_,51.48
_1086_,51.44
_1390_,51.34
_2849_,51.07
_2487_,51.02
_1339_,51
_2677_,51
_2071_,50.86
_1563_,50.7
_2506_,50.32
_2650_,49.98
_1098_,49.78
_1511_,49.76
clknet_leaf_21_CLK,49.74
_2593_,49.7
_1323_,49.64
clknet_leaf_26_CLK,49.2
_2550_,49.1
_2779_,49.02
_2718_,48.96
_2437_,48.6
_2041_,48.58
_1912_,48.38
_1039_,48.3
_2547_,48.28
_1152_,48.06
_2549_,47.82
_1890_,47.66
_2751_,47.26
_2441_,47.22
_2731_,47.205
_1070_,46.24
_2678_,45.5
_2420_,44.86
clknet_leaf_51_CLK,44.14
_2525_,43.92
_2600_,43.92
_2652_,43.1
_2736_,42.9
_2472_,42.855
_1853_,42.76
clknet_leaf_55_CLK,42.42
_3302_,42.23
_2461_,41.9
_2031_,41.74
_2729_,41.64
RF.registers\[10\]\[6\],41.55
_1157_,41.32
_2748_,41.1
_2834_,40.9
_2296_,40.82
_2531_,40.8
_2486_,40.65
_2522_,40.24
